control,test
40.15350591,69.63158195
38.48472159,70.01675213
52.12911922,56.27102722
35.48043193,78.94118664
25.05197013,37.73603636
54.62228871,53.52952484
68.04977416,69.53408812
50.47551852,100.8365296
48.31336828,69.50517921
45.79321105,65.5381124
59.13816769,93.8270246
53.96672102,67.87779287
44.71328514,76.21672709
45.04663406,79.33478258
63.54810903,68.77693622
58.01977682,45.63500327
54.29795533,73.64076795
48.36018342,76.98132939
57.34160569,75.08986168
54.94794088,59.4817147
68.85884362,59.32464738
55.6760143,64.43046903
54.61264688,76.05143712
37.24395544,61.93123929
52.67053865,88.50830984
44.04448507,55.91344667
36.41807818,80.53826026
56.24348841,70.12545984
37.10399434,51.84080483
41.93732265,75.81986301
54.29300605,70.61148611
71.82019167,82.82988498
59.79059465,59.37637505
63.3032982,61.0675915
57.38234959,64.03999618
56.85227265,71.9066849
62.4890547,37.71242553
38.32304422,96.50537976
40.66610212,70.44200533
33.24823003,91.35715151
73.30955114,82.79222975
35.79740922,86.12947144
45.13970371,73.30866402
44.88309062,63.20229696
44.38014306,63.36852907
40.80459159,59.40092999
46.39205357,54.61998755
40.66854053,69.54697144
44.45357476,65.32282263
52.11923456,85.23649719
56.4466379,94.4614469
56.2819401,82.87313184
51.86559467,90.93572695
55.86796026,54.75567859
37.04630318,102.1175613
71.85199165,68.50868353
45.18838266,81.12604084
50.9312966,75.30300853
53.47800079,65.58742247
49.75864339,64.42547708
52.66631123,68.922565
49.13841458,74.237051
57.38257232,92.43845306
61.68984159,54.5233855
67.39989057,66.78416457
58.82479544,83.40397365
50.37166305,75.06770226
53.82248276,82.96005528
52.77131392,37.67295091
42.44987951,79.8953661
43.77012388,68.40481495
54.71054796,77.62351922
51.73411123,63.60603526
38.69992218,69.91931547
64.37166207,99.35503328
38.08859564,78.59974567
55.46657294,61.89468164
50.5282072,123.7083835
43.58888417,53.55002092
62.44541781,77.44551646
59.56634193,115.6182679
49.37226213,57.53324474
57.32422665,105.4107021
43.25525263,80.12403514
59.46541149,77.69186258
31.3586073,57.11785036
66.10791429,84.49364759
58.73188614,80.9549542
64.26470448,81.87182375
56.41751151,72.07178314
55.31614658,81.87166185
47.27201955,82.38706818
55.06331517,60.51006592
53.31863318,65.47832423
47.08351945,56.90297539
66.57921086,55.02665958
41.46331373,68.4592555
73.61830482,68.72187273
49.90815157,55.00753773
58.60834729,94.96037521
