condition,RT
control,40.15350591
control,38.48472159
control,52.12911922
control,35.48043193
control,25.05197013
control,54.62228871
control,68.04977416
control,50.47551852
control,48.31336828
control,45.79321105
control,59.13816769
control,53.96672102
control,44.71328514
control,45.04663406
control,63.54810903
control,58.01977682
control,54.29795533
control,48.36018342
control,57.34160569
control,54.94794088
control,68.85884362
control,55.6760143
control,54.61264688
control,37.24395544
control,52.67053865
control,44.04448507
control,36.41807818
control,56.24348841
control,37.10399434
control,41.93732265
control,54.29300605
control,71.82019167
control,59.79059465
control,63.3032982
control,57.38234959
control,56.85227265
control,62.4890547
control,38.32304422
control,40.66610212
control,33.24823003
control,73.30955114
control,35.79740922
control,45.13970371
control,44.88309062
control,44.38014306
control,40.80459159
control,46.39205357
control,40.66854053
control,44.45357476
control,52.11923456
control,56.4466379
control,56.2819401
control,51.86559467
control,55.86796026
control,37.04630318
control,71.85199165
control,45.18838266
control,50.9312966
control,53.47800079
control,49.75864339
control,52.66631123
control,49.13841458
control,57.38257232
control,61.68984159
control,67.39989057
control,58.82479544
control,50.37166305
control,53.82248276
control,52.77131392
control,42.44987951
control,43.77012388
control,54.71054796
control,51.73411123
control,38.69992218
control,64.37166207
control,38.08859564
control,55.46657294
control,50.5282072
control,43.58888417
control,62.44541781
control,59.56634193
control,49.37226213
control,57.32422665
control,43.25525263
control,59.46541149
control,31.3586073
control,66.10791429
control,58.73188614
control,64.26470448
control,56.41751151
control,55.31614658
control,47.27201955
control,55.06331517
control,53.31863318
control,47.08351945
control,66.57921086
control,41.46331373
control,73.61830482
control,49.90815157
control,58.60834729
test,69.63158195
test,70.01675213
test,56.27102722
test,78.94118664
test,37.73603636
test,53.52952484
test,69.53408812
test,100.8365296
test,69.50517921
test,65.5381124
test,93.8270246
test,67.87779287
test,76.21672709
test,79.33478258
test,68.77693622
test,45.63500327
test,73.64076795
test,76.98132939
test,75.08986168
test,59.4817147
test,59.32464738
test,64.43046903
test,76.05143712
test,61.93123929
test,88.50830984
test,55.91344667
test,80.53826026
test,70.12545984
test,51.84080483
test,75.81986301
test,70.61148611
test,82.82988498
test,59.37637505
test,61.0675915
test,64.03999618
test,71.9066849
test,37.71242553
test,96.50537976
test,70.44200533
test,91.35715151
test,82.79222975
test,86.12947144
test,73.30866402
test,63.20229696
test,63.36852907
test,59.40092999
test,54.61998755
test,69.54697144
test,65.32282263
test,85.23649719
test,94.4614469
test,82.87313184
test,90.93572695
test,54.75567859
test,102.1175613
test,68.50868353
test,81.12604084
test,75.30300853
test,65.58742247
test,64.42547708
test,68.922565
test,74.237051
test,92.43845306
test,54.5233855
test,66.78416457
test,83.40397365
test,75.06770226
test,82.96005528
test,37.67295091
test,79.8953661
test,68.40481495
test,77.62351922
test,63.60603526
test,69.91931547
test,99.35503328
test,78.59974567
test,61.89468164
test,123.7083835
test,53.55002092
test,77.44551646
test,115.6182679
test,57.53324474
test,105.4107021
test,80.12403514
test,77.69186258
test,57.11785036
test,84.49364759
test,80.9549542
test,81.87182375
test,72.07178314
test,81.87166185
test,82.38706818
test,60.51006592
test,65.47832423
test,56.90297539
test,55.02665958
test,68.4592555
test,68.72187273
test,55.00753773
test,94.96037521
